station,horizon,n,rmse,mae,r2
Kuopio Savilahti KYS,48,1629,5.434013671970543,3.0486081539104024,-0.040361808482153316
Kuopio Tasavallankatu,6,1705,4.311542668478647,2.3000530565334154,0.3466639007521978
Kuopio Tasavallankatu,12,1705,4.633630231686207,2.6320470133154217,0.2435696530683099
Kuopio Tasavallankatu,24,1705,4.805977568672507,2.841714451953774,0.18292011014752063
Kuopio Tasavallankatu,48,1705,5.177605844680752,3.1253591998590777,0.05477710186603291
Lappeenranta Pulp,6,1660,4.375588761866915,2.467441543198146,0.2578794364513852
Lappeenranta Pulp,12,1658,4.904983357166498,2.7951626875712208,0.0727182359375872
Lappeenranta Pulp,24,1656,5.314599998520209,3.077206570868285,-0.0763413017474377
Lappeenranta Pulp,48,1657,5.382654259621613,3.2176519461511095,-0.11479450648415535
Raisio Ihala,6,1660,3.06261804157939,1.8098852130958685,0.24529930910929432
Raisio Ihala,12,1659,3.4017781585646722,2.0574678225184058,0.0953133912213775
Raisio Ihala,24,1657,3.4871569329128356,2.169268556073899,0.0865193358689178
Raisio Ihala,48,1656,3.866726041606207,2.4313180107254797,-0.1155400712824799
Tampere Epila 2,6,1609,2.467476049204125,1.6962540689557937,0.38414265582938967
Tampere Epila 2,12,1608,2.8217962085970907,2.00132352431481,0.20324499349694403
Tampere Epila 2,24,1608,2.8683993982958063,2.051808558249445,0.17246792661225063
Tampere Epila 2,48,1608,3.1010219276353896,2.2354989342845983,0.04814048301503382
Vantaa Tikkurila Neilikkatie,6,1672,4.252552156192971,2.366811671636013,0.1861298346744833
Vantaa Tikkurila Neilikkatie,12,1672,4.636903681064944,2.6261909082448454,0.02309942657185371
Vantaa Tikkurila Neilikkatie,24,1672,4.664409416750564,2.804351508561849,0.012815251303206154
Vantaa Tikkurila Neilikkatie,48,1672,4.9512997855032435,3.020584857646401,-0.14970982062718208
